clean_name,season,position,games,fantasy_points_ppr,targets,carries,receiving_yards,rushing_yards,receptions,receiving_tds,rushing_tds,passing_yards,passing_tds,interceptions,recent_team,player_name,player_key,avg_fantasy_points_3yr,avg_targets_3yr,avg_carries_3yr,performance_trend_pct,consistency_score,seasons_played,total_games,avg_opportunity,total_touches,yards_per_touch,passing_efficiency,catch_rate,yards_per_target,points_per_game,opportunity_share
BRANDON JOHNSON,2024,WR,1,1.9,1,0,9.0,0.0,1,0,0,0.0,0,0.0,PIT,Brandon Johnson,BRANDON JOHNSON_WR,30.500001907348633,15.0,0.0,-97.41143798828125,0.8061480522155762,3,15,15.0,0.0,0.0,0.0,1.0,9.0,1.899999976158142,1
BRANDON POWELL,2024,WR,7,14.1,10,0,71.0,0.0,7,0,0,0.0,0,0.0,MIN,Brandon Powell,BRANDON POWELL_WR,43.60000228881836,28.666666666666668,7.333333333333333,-79.59478759765625,1.5730236768722534,3,36,36.0,0.0,0.0,0.0,0.7,7.1,2.0142857687813893,10
BRAXTON BERRIOS,2022,QB,15,57.68,32,9,145.0,91.0,18,0,2,2.0,1,0.0,NYJ,Braxton Berrios,BRAXTON BERRIOS_QB,57.68000030517578,32.0,9.0,0.0,0.0,1,15,41.0,0.0,0.0,500.0,0.0,0.0,3.8453333536783854,41
BRAYLON SANDERS,2022,WR,2,1.7,3,0,17.0,0.0,2,0,0,0.0,0,0.0,MIA,Braylon Sanders,BRAYLON SANDERS_WR,1.7000000476837158,3.0,0.0,0.0,0.0,1,2,3.0,0.0,0.0,0.0,0.6666666666666666,5.666666666666667,0.8500000238418579,3
BREECE HALL,2024,RB,16,240.9,76,209,483.0,876.0,57,3,5,0.0,0,0.0,NYJ,Breece Hall,BREECE HALL_RB,215.5,67.33333333333333,170.66666666666666,-17.074012756347656,2.3834121227264404,3,40,238.0,285.0,4.768421173095703,0.0,0.0,0.0,15.056249618530273,285
BRENTON STRANGE,2023,TE,5,14.5,9,0,35.0,0.0,5,1,0,0.0,0,0.0,JAX,Brenton Strange,BRENTON STRANGE_TE,14.5,9.0,0.0,0.0,0.0,1,5,9.0,0.0,0.0,0.0,0.5555555555555556,3.888888888888889,2.9,9
BRENTON STRANGE,2024,WR,14,91.1,53,0,411.0,0.0,40,2,0,0.0,0,0.0,JAX,Brenton Strange,BRENTON STRANGE_WR,91.0999984741211,53.0,0.0,0.0,0.0,1,14,53.0,0.0,0.0,0.0,0.7547169811320755,7.754716981132075,6.507142748151507,53
BRESHAD PERRIMAN,2022,WR,8,23.3,19,2,110.0,-7.0,9,1,0,0.0,0,0.0,TB,Breshad Perriman,BRESHAD PERRIMAN_WR,23.299999237060547,19.0,2.0,0.0,0.0,1,8,21.0,0.0,0.0,0.0,0.47368421052631576,5.7894736842105265,2.9124999046325684,21
BRETT RYPIEN,2023,QB,2,6.7799997,0,3,0.0,19.0,0,0,0,172.0,0,1.0,LA,Brett Rypien,BRETT RYPIEN_QB,12.399999618530273,0.0,4.5,-62.37514114379883,1.5601643323898315,2,6,4.5,0.0,0.0,0.0,0.0,0.0,3.3899998664855957,3
BREVIN JORDAN,2024,TE,2,2.6999998,3,0,7.0,0.0,2,0,0,0.0,0,0.0,HOU,Brevin Jordan,BREVIN JORDAN_TE,31.66666603088379,18.0,0.0,-95.87786102294922,0.9995288252830505,3,22,18.0,0.0,0.0,0.0,0.6666666666666666,2.3333333333333335,1.3499999046325684,3
BREVYN SPANNFORD,2024,TE,6,17.8,14,0,88.0,0.0,9,0,0,0.0,0,0.0,DAL,Brevyn Spann-Ford,BREVYN SPANNFORD_TE,17.799999237060547,14.0,0.0,0.0,0.0,1,6,14.0,0.0,0.0,0.0,0.6428571428571429,6.285714285714286,2.9666665395100913,14
BRIAN HOYER,2023,QB,2,4.94,0,3,0.0,-3.0,0,0,0,231.0,0,2.0,LV,Brian Hoyer,BRIAN HOYER_QB,3.2100000381469727,0.0,1.5,233.78379821777344,1.312030553817749,2,3,1.5,0.0,0.0,0.0,0.0,0.0,2.4700000286102295,3
BRIAN ROBINSON,2024,RB,17,190.9,30,223,181.0,928.0,24,0,10,0.0,0,0.0,WAS,Brian Robinson,BRIAN ROBINSON_RB,167.23333740234375,28.333333333333332,202.0,-3.6345341205596924,3.530791997909546,3,44,230.33333333333334,253.0,4.38339900970459,0.0,0.0,0.0,11.22941140567555,253
